SYMBOL,COMPANY,COUNTRY,EXCHANGE
MODIPON.BO,Modipon Ltd,India,Bombay Stock Exchange
MON.BA,Monsanto Co,Argentina,Buenos Aires Stock Exchange
MON.MX,Monsanto Co,Mexico,Mexico Stock Exchange
MON,Monsanto Company,United States of America,
MONSANTO.BO,Monsanto India Ltd,India,Bombay Stock Exchange
MONSANTO.NS,Monsanto India Ltd,India,National Stock Exchange of India
NAGAAGRI.BO,Nagarjuna Agrichem Ltd.,India,Bombay Stock Exchange
NAGTECH.BO,Nagarjuna Agritech Ltd,India,Bombay Stock Exchange
NFL.BO,National Fertilizers Ltd,India,Bombay Stock Exchange
NFL.NS,National Fertilizers Ltd,India,National Stock Exchange of India
NOEC,New Oriental Energy & Chemical,United States of America,
NUF.AX,Nufarm Ltd,Australia,Australian Stock Exchange
NUF.DE,Nufarm Ltd,Germany,XETRA Stock Exchange
BAZA474.SA,Nutriplant Industria,Brazil,BOVESPA - Sao Paolo Stock Exchange
OCEAGRO.BO,Ocean Agro (India) Ltd,India,Bombay Stock Exchange
PHOR.L,OJSC PhosAgro,United Kingdom,London Stock Exchange
MLOLM.PA,Olmix SA,France,Paris Stock Exchange
PHYTO.BO,Phyto Chem (India) Ltd,India,Bombay Stock Exchange
PIM.L,Plant Impact PLC,United Kingdom,London Stock Exchange
POT,"Potash Corp. of Saskatchewan,",United States of America,
POC.DE,Potash of Saskatchewan,Germany,XETRA Stock Exchange
POT.TO,Potash of Saskatchewan,Canada,Toronto Stock Exchange
POTN.MX,Potash of Saskatchewan,Mexico,Mexico Stock Exchange
RALLIS.BO,Rallis India Ltd.,India,Bombay Stock Exchange
RALLIS.NS,Rallis India Ltd.,India,National Stock Exchange of India
RAMAPHO.BO,Rama Phosphates Ltd,India,Bombay Stock Exchange
RCF.BO,Rashtriya Chemicals,India,Bombay Stock Exchange
RCF.NS,Rashtriya Chemicals,India,National Stock Exchange of India
RNF,"Rentech Nitrogen Partners, L.P",United States of America,
ENGB.BR,Rosier,United States of America,
SABERO.BO,Sabero Organics Gujarat Ltd,India,Bombay Stock Exchange
SABERORGA.NS,Sabero Organics Gujarat Ltd,India,National Stock Exchange of India
SHIVAFER.BO,Shiva Global Agro Indus,India,Bombay Stock Exchange
SNCL.L,Sinclair (William) Hldgs,United Kingdom,London Stock Exchange
WCQ1.DE,Sinofert Holdings Ltd,Germany,XETRA Stock Exchange
0297.HK,Sinofert Holdings Ltd.,Hong Kong,Hong Kong Stock Exchange
SOI.AX,Soil Sub Technologies Ltd,Australia,Australian Stock Exchange
SOUTHPET.BO,Southern Petrochemicals,India,Bombay Stock Exchange
SPIC.NS,Southern Petrochemicals,India,National Stock Exchange of India
ST.TO,Stonegate Agricom Ltd,Canada,Toronto Stock Exchange
X6S.DE,Stonegate Agricom Ltd,Germany,XETRA Stock Exchange
SUCROSA.BO,Super Crop Safe Ltd,India,Bombay Stock Exchange
SVJ.DE,Syngenta AG,Germany,XETRA Stock Exchange
SVJA.DE,Syngenta AG,Germany,XETRA Stock Exchange
SYT,Syngenta AG,United States of America,
TEEAI.BO,Teesta Agro Industries Ltd,India,Bombay Stock Exchange
TNH,"Terra Nitrogen Company, L.P.",United States of America,
MOS,The Mosaic Company,United States of America,
SMG,The Scotts Miracle-Gro Company,United States of America,
TUTIALKA.BO,Tuticorin Alkali,India,Bombay Stock Exchange
TYR.L,TyraTech Inc,United Kingdom,London Stock Exchange
TYRU.L,TyraTech Inc,United Kingdom,London Stock Exchange
UNIPHOS.NS,United Phosphorus Ltd,India,National Stock Exchange of India
UNITEDPHOS.BO,United Phosphorus Ltd,India,Bombay Stock Exchange
WPX.TO,Western Potash Corporation,Canada,Toronto Stock Exchange
WYN.L,Wynnstay Group PLC,United Kingdom,London Stock Exchange
YONGY,"Yongye International, Inc.",United States of America,
YONGY,"Yongye International, Inc.",United States of America,
ZUARI.NS,Zuari Agro Chemicals Ltd,India,National Stock Exchange of India
ZUARIAGRO.NS,Zuari Global Ltd,India,National Stock Exchange of India
ZUARIIND.BO,Zuari Global Ltd,India,Bombay Stock Exchange
A18.SI,AEI Corp Ltd,Singapore,Singapore Stock Exchange
AA.BA,Alcoa Inc,Argentina,Buenos Aires Stock Exchange
AA.MX,Alcoa Inc,Mexico,Mexico Stock Exchange
AAI.AX,Alcoa Inc,Australia,Australian Stock Exchange
ALU.DE,Alcoa Inc,Germany,XETRA Stock Exchange
AA,Alcoa Inc.,United States of America,
ALUA.BA,Aluar Aluminio Argentino,Argentina,Buenos Aires Stock Exchange
ALUMECO.BO,Alumeco India Extrusion Ltd,India,Bombay Stock Exchange
AWC.AX,Alumina Ltd,Australia,Australian Stock Exchange
WMC.DE,Alumina Ltd,Germany,XETRA Stock Exchange
