SYMBOL,COMPANY,COUNTRY,EXCHANGE
FI,Frank's International N.V.,United States of America,
FCRM.L,Fulcrum Utility Services Ltd,United Kingdom,London Stock Exchange
GE3.DE,Genesis Energy LP,Germany,XETRA Stock Exchange
GEL,Genesis Energy LP,United States of America,
GEI.TO,Gibson Energy Inc,Canada,Toronto Stock Exchange
GLFE,"Gulf United Energy, Inc.",United States of America,
HEP,Holly Energy Partners L.P,United States of America,
HHN.DE,Holly Energy Partners LP,Germany,XETRA Stock Exchange
IPL.TO,Inter Pipeline Ltd,Canada,Toronto Stock Exchange
JPEP,JP Energy Partners LP,United States of America,
KEY.TO,Keyera Corp,Canada,Toronto Stock Exchange
KMI,"Kinder Morgan, Inc.",United States of America,
LI5.DE,Liquefied Natural Gas Ltd,Germany,XETRA Stock Exchange
LNG.AX,Liquefied Natural Gas Ltd,Australia,Australian Stock Exchange
MCR.V,Macro Enterprises Inc,Canada,TSX Venture Exchange
WEP.DE,Magellan Midstream,Germany,XETRA Stock Exchange
MMP,Magellan Midstream Partners LP,United States of America,
MWT.DE,MarkWest Energy Partners LP,Germany,XETRA Stock Exchange
MWE,"MarkWest Energy Partners, L.P.",United States of America,
FISH,"Marlin Midstream Partners, LP",United States of America,
MMLP,Martin Midstream Partners LP,United States of America,
MPLX,MPLX LP,United States of America,
NS,NuStar Energy L.P.,United States of America,
SPY.DE,"NuStar Energy, L.P.",Germany,XETRA Stock Exchange
VL2.DE,NuStar GP Holdings LLC,Germany,XETRA Stock Exchange
NSH,"NuStar GP Holdings, LLC",United States of America,
OILT,"Oiltanking Partners, L.P.",United States of America,
ONK.DE,ONEOK Inc,Germany,XETRA Stock Exchange
NBQ.DE,ONEOK Partners LP,Germany,XETRA Stock Exchange
OKS,"ONEOK Partners, L.P.",United States of America,
O1G.DE,Pan European Terminals PLC,Germany,XETRA Stock Exchange
PPL.TO,Pembina Pipeline Corp,Canada,Toronto Stock Exchange
PBA,Pembina Pipeline Corporation,United States of America,
PLM.DE,Plains All American,Germany,XETRA Stock Exchange
PAA,"Plains All American Pipeline,",United States of America,
PAGP,"Plains GP Holdings, L.P.",United States of America,
QEPM,"QEP Midstream Partners, LP",United States of America,
Q8Q.DE,QEP Resources Inc,Germany,XETRA Stock Exchange
QEP,"QEP Resources, Inc.",United States of America,
R3P.DE,Regency Energy Partners LP,Germany,XETRA Stock Exchange
RGP,Regency Energy Partners LP,United States of America,
SEMG,SemGroup Corporation,United States of America,
SHLX,"Shell Midstream Partners, L.P.",United States of America,
S5H.DE,Siem Offshore Inc,Germany,XETRA Stock Exchange
SAK.DE,Sinopec Kantons Holdings Ltd,Germany,XETRA Stock Exchange
0934.HK,Sinopec Kantons Holdings Ltd.,Hong Kong,Hong Kong Stock Exchange
SNM.DE,Snam SpA,Germany,XETRA Stock Exchange
SRG.MI,Snam SpA,Italy,Milan Stock Exchange
N4D.DE,Spectra Energy Corp,Germany,XETRA Stock Exchange
SE,Spectra Energy Corp.,United States of America,
SEZ.DE,Spectra Energy Partners LP,Germany,XETRA Stock Exchange
SEP,"Spectra Energy Partners, LP",United States of America,
SGU,"Star Gas Partners, L.P.",United States of America,
SXL,Sunoco Logistics Partners L.P.,United States of America,
SXL.V,Sunoco Logistics Partners L.P.,Canada,TSX Venture Exchange
SUN.DE,Sunoco Logistics Partners LP,Germany,XETRA Stock Exchange
TEP,"Tallgrass Energy Partners, LP",United States of America,
TRGP,Targa Resources Corp.,United States of America,
NGLS,Targa Resources Partners LP,United States of America,
ZVK.DE,Targa Resources Partners LP,Germany,XETRA Stock Exchange
TCP,"TC PipeLines, LP",United States of America,
8290.HK,Tianjin Jinran Public,Hong Kong,Hong Kong Stock Exchange
TRP-PA.TO,TransCanada Corp,Canada,Toronto Stock Exchange
TRP-PB.TO,TransCanada Corp,Canada,Toronto Stock Exchange
TRP-PC.TO,TransCanada Corp,Canada,Toronto Stock Exchange
TRP.TO,TransCanada Corp,Canada,Toronto Stock Exchange
TRS.DE,TransCanada Corp,Germany,XETRA Stock Exchange
TRP,TransCanada Corp.,United States of America,
TLP,Transmontaigne Partners L.P.,United States of America,
USAC,"USA Compression Partners, LP",United States of America,
VLP,Valero Energy Partners LP,United States of America,
VSN.TO,Veresen Inc,Canada,Toronto Stock Exchange
WGP,"Western Gas Equity Partners, L",United States of America,
WES,Western Gas Partners LP,United States of America,
3NZ.DE,"Western Gas Partners, LP",Germany,XETRA Stock Exchange
WNRL,"Western Refining Logistics, LP",United States of America,
WMB.DE,Williams Companies Inc,Germany,XETRA Stock Exchange
WMB,"Williams Companies, Inc.",United States of America,
WP8.DE,Williams Partners LP,Germany,XETRA Stock Exchange
WPT,"World Point Terminals, LP",United States of America,
8070.HK,Zhongyu Gas Holdings Ltd.,Hong Kong,Hong Kong Stock Exchange
AE,Adams Resources & Energy Inc.,United States of America,
A2U.DE,Alon USA Energy Inc,Germany,XETRA Stock Exchange
ALJ,"Alon USA Energy, Inc.",United States of America,
ALDW,"Alon USA Partners, LP",United States of America,
5AU.SI,AP Oil International Ltd,Singapore,Singapore Stock Exchange
ARW.AX,Australian Renewable Fuels Ltd,Australia,Australian Stock Exchange
D7I.DE,BDI - Bioenergy,Germany,XETRA Stock Exchange
BPCL.BO,Bharat Petroleum Corp Ltd,India,Bombay Stock Exchange
BPCL.NS,Bharat Petroleum Corp Ltd,India,National Stock Exchange of India
BX.TO,BIOX Corp,Canada,Toronto Stock Exchange
BMI.DE,BP Prudhoe Bay Royalty Trust,Germany,XETRA Stock Exchange
BPT,BP Prudhoe Bay Royalty Trust,United States of America,
FIQT.DE,Brightoil Petroleum,Germany,XETRA Stock Exchange
CALSREF.BO,Cals Refineries Ltd,India,Bombay Stock Exchange
CLZ.DE,Caltex Australia Ltd,Germany,XETRA Stock Exchange
CTX.AX,Caltex Australia Ltd,Australia,Australian Stock Exchange
C1A.DE,Calumet Specialty,Germany,XETRA Stock Exchange
CLMT,Calumet Specialty Products Par,United States of America,
CHENNPETR.NS,Chennai Petroleum Corp Ltd,India,National Stock Exchange of India
CHENNPETRO.BO,Chennai Petroleum Corp Ltd,India,Bombay Stock Exchange
C2S.DE,Chesapeake Midstream,Germany,XETRA Stock Exchange
G92.SI,China Aviation Oil,Singapore,Singapore Stock Exchange
VZ8.DE,China Aviation Oil,Germany,XETRA Stock Exchange
0384.HK,China Gas Holdings Ltd.,Hong Kong,Hong Kong Stock Exchange
GPI1.DE,China Oil And Gas Group Ltd,Germany,XETRA Stock Exchange
0603.HK,China Oil And Gas Group Ltd.,Hong Kong,Hong Kong Stock Exchange
CYIP,China Yili Petroleum Co.,United States of America,
CONFIPET.BO,Confidence Petroleum India Ltd,India,Bombay Stock Exchange
CONTPTR.BO,Continental Petroleums Ltd,India,Bombay Stock Exchange
BAZA157.SA,Cosan SA Industria e Comercio,Brazil,BOVESPA - Sao Paolo Stock Exchange
CSM.DE,Cosmo Oil Company Limited,Germany,XETRA Stock Exchange
CAPL,CrossAmerica Partners LP,United States of America,
FL9.DE,CVR Energy Inc,Germany,XETRA Stock Exchange
CVI,"CVR Energy, Inc.",United States of America,
CVRR,"CVR Refining, LP",United States of America,
DCC.L,DCC PLC,United Kingdom,London Stock Exchange
DK,"Delek US Holdings, Inc.",United States of America,
DPAM.PA,Docks P̩troles d Amb̬s,France,Paris Stock Exchange
EROC,"Eagle Rock Energy Partners, L.",United States of America,
EASTERNGAS.BO,Eastern Gases Ltd,India,Bombay Stock Exchange
DEAC,Elite Data Services Inc.,United States of America,
DEAC,Elite Data Services Inc.,United States of America,
DEAC,Elite Data Services Inc.,United States of America,
ENRJ,"EnerJex Resources, Inc.",United States of America,
ENLC,"EnLink Midstream, LLC",United States of America,
EH8.DE,Esso,Germany,XETRA Stock Exchange
ES.PA,Esso,France,Paris Stock Exchange
JAV2.DE,Esso Thailand PCL,Germany,XETRA Stock Exchange
FEG.DE,Ferrellgas Partners LP,Germany,XETRA Stock Exchange
FGP,Ferrellgas Partners LP,United States of America,
FTO.L,Fortune Oil PLC,United Kingdom,London Stock Exchange
GBOE,"GeoBio Energy, Inc.",United States of America,
GBOE,"GeoBio Energy, Inc.",United States of America,
HINDPETRO.NS,Hindustan Petroleum Corp Ltd,India,National Stock Exchange of India
HPCL.BO,Hindustan Petroleum Corp Ltd,India,Bombay Stock Exchange
HFC,HollyFrontier Corporation,United States of America,
HYR.L,Hydrodec Group PLC,United Kingdom,London Stock Exchange
I7B.DE,"Idemitsu Kosan Co., Ltd.",Germany,XETRA Stock Exchange
IOC.BO,Indian Oil Corp Ltd,India,Bombay Stock Exchange
IOC.NS,Indian Oil Corp Ltd,India,National Stock Exchange of India
IOLA.DE,InterOil Corp,Germany,XETRA Stock Exchange
IOC,InterOil Corporation,United States of America,
NVPF.DE,Irpc PLC,Germany,XETRA Stock Exchange
TPIG.DE,Irpc PLC,Germany,XETRA Stock Exchange
JHJ.DE,JX Holdings Inc,Germany,XETRA Stock Exchange
KIORQ,"KiOR, Inc.",United States of America,
MRPL.BO,Mangalore Refinery,India,Bombay Stock Exchange
MRPL.NS,Mangalore Refinery,India,National Stock Exchange of India
MPC,Marathon Petroleum Corporation,United States of America,
MBT.AX,Mission NewEnergy Ltd,Australia,Australian Stock Exchange
HEM.DE,Motor Oil,Germany,XETRA Stock Exchange
NAGAROIL.NS,Nagarjuna Oil Refinery Ltd,India,National Stock Exchange of India
NEF.DE,Neste Oil Oyj,Germany,XETRA Stock Exchange
NECA,New America Energy Corp.,United States of America,
NECA,New America Energy Corp.,United States of America,
NZR.NZ,New Zealand Refining Co Ltd,New Zeland,New Zealand Stock Exchange
0342.HK,NewOcean Energy Holdings Ltd.,Hong Kong,Hong Kong Stock Exchange
NGL,NGL Energy Partners LP,United States of America,
NTI,Northern Tier Energy LP,United States of America,
ANN.DE,Northwest Oil,Germany,XETRA Stock Exchange
PANAMA.BO,Panama Petrochem Ltd,India,Bombay Stock Exchange
PKI.TO,Parkland Fuel Corp,Canada,Toronto Stock Exchange
PBF,PBF Energy Inc.,United States of America,
MLPIV.PA,Petro Ivoire,France,Paris Stock Exchange
PETRONET.BO,Petronet LNG Ltd,India,Bombay Stock Exchange
PETRONET.NS,Petronet LNG Ltd,India,National Stock Exchange of India
PT8.DE,Petrotec AG,Germany,XETRA Stock Exchange
PSX,Phillips 66,United States of America,
PSXP,Phillips 66 Partners LP,United States of America,
BAZA569.SA,Refinaria De Petroleos,Brazil,BOVESPA - Sao Paolo Stock Exchange
RELIANCE.NS,Reliance Industries Ltd,India,National Stock Exchange of India
RIGD.L,Reliance Industries Ltd,United Kingdom,London Stock Exchange
RIL.BO,Reliance Industries Ltd,India,Bombay Stock Exchange
RLI.DE,Reliance Industries Ltd,Germany,XETRA Stock Exchange
REGI,"Renewable Energy Group, Inc.",United States of America,
R4Q.DE,RPCG PLC,Germany,XETRA Stock Exchange
W8M1.DE,RPCG PLC,Germany,XETRA Stock Exchange
SAHPETRO.BO,Sah Petroleums Ltd,India,Bombay Stock Exchange
SAHPETRO.NS,Sah Petroleums Ltd,India,National Stock Exchange of India
SAMYAKINT.BO,Samyak International Ltd,India,Bombay Stock Exchange
SRS.MI,Saras,Italy,Milan Stock Exchange
XKK.DE,Showa Shell Sekiyu KK,Germany,XETRA Stock Exchange
566.SI,SHS Holdings Ltd,Singapore,Singapore Stock Exchange
SGJH.DE,Sinopec Shanghai,Germany,XETRA Stock Exchange
SHI.DE,Sinopec Shanghai,Germany,XETRA Stock Exchange
0338.HK,Sinopec Shanghai Petroche,Hong Kong,Hong Kong Stock Exchange
SHI,Sinopec Shanghai Petrochemical,United States of America,
41S.DE,Sinostar Pec Holdings Ltd,Germany,XETRA Stock Exchange
C9Q.SI,Sinostar Pec Holdings Ltd,Singapore,Singapore Stock Exchange
SRLP,Sprague Resources LP,United States of America,
A4B.DE,SWW Energy Ltd,Germany,XETRA Stock Exchange
SWW.AX,SWW Energy Ltd,Australia,Australian Stock Exchange
TX5.DE,Tesoro Corp,Germany,XETRA Stock Exchange
TSO,Tesoro Corporation,United States of America,
LQZ.DE,Thai Oil PLC,Germany,XETRA Stock Exchange
LQZ1.DE,Thai Oil PLC,Germany,XETRA Stock Exchange
TIDEWAT.BO,Tide Water Oil Co India Ltd,India,Bombay Stock Exchange
TIDEWATER.NS,Tide Water Oil Co India Ltd,India,National Stock Exchange of India
TPRD.L,Tupras-Turkiye Petrol,United Kingdom,London Stock Exchange
UGP,Ultrapar Holdings Inc.,United States of America,
BAZA743.SA,Ultrapar Participacoes SA,Brazil,BOVESPA - Sao Paolo Stock Exchange
UGPN.MX,Ultrapar Participacoes SA,Mexico,Mexico Stock Exchange
UGR.DE,Ultrapar Participacoes SA,Germany,XETRA Stock Exchange
VLE.DE,Valero Energy Corp,Germany,XETRA Stock Exchange
VLO.MX,Valero Energy Corp,Mexico,Mexico Stock Exchange
VLO,Valero Energy Corporation,United States of America,
BAZA208.SA,Vanguarda Agro S.A.,Brazil,BOVESPA - Sao Paolo Stock Exchange
W1R.DE,Western Refining Inc,Germany,XETRA Stock Exchange
WNR,"Western Refining, Inc.",United States of America,
WPZ,Williams Partners L.P.,United States of America,
WFK.DE,World Fuel Services Corp,Germany,XETRA Stock Exchange
INT,World Fuel Services Corp.,United States of America,
TTM.V,Abzu Gold Ltd,Canada,TSX Venture Exchange
I3A.DE,Arian Silver Corp,Germany,XETRA Stock Exchange
AGQ.L,Arian Silver Corporation,United Kingdom,London Stock Exchange
AGQ.V,Arian Silver Corporation,Canada,TSX Venture Exchange
BMZ.AX,Black Mountain Resources Ltd,Australia,Australian Stock Exchange
BMZ.L,Black Mountain Resources Ltd,United Kingdom,London Stock Exchange
CMB.V,CMC Metals Ltd,Canada,TSX Venture Exchange
ZM5.DE,CMC Metals Ltd,Germany,XETRA Stock Exchange
CDM1.DE,Coeur Mining Inc,Germany,XETRA Stock Exchange
CDE,"Coeur Mining, Inc.",United States of America,
CSC.V,Columbus Silver Corporation,Canada,TSX Venture Exchange
DEF.V,Defiance Silver Corp,Canada,TSX Venture Exchange
DV.V,Dolly Varden Silver Corp,Canada,TSX Venture Exchange
5RT.DE,El Tigre Silver Corporation,Germany,XETRA Stock Exchange
ELS.V,El Tigre Silver Corporation,Canada,TSX Venture Exchange
EDR.TO,Endeavour Silver Corp,Canada,Toronto Stock Exchange
EJD.DE,Endeavour Silver Corp,Germany,XETRA Stock Exchange
EXK,Endeavour Silver Corp.,United States of America,
EXN.TO,Excellon Resources Inc.,Canada,Toronto Stock Exchange
FMV.DE,First Majestic Silver Corp,Germany,XETRA Stock Exchange
FR.TO,First Majestic Silver Corp,Canada,Toronto Stock Exchange
AG,First Majestic Silver Corp.,United States of America,
F4S.DE,Fortuna Silver Mines Inc,Germany,XETRA Stock Exchange
FVI.TO,Fortuna Silver Mines Inc,Canada,Toronto Stock Exchange
FSM,Fortuna Silver Mines Inc.,United States of America,
G3U.DE,Great Panther Silver Ltd,Germany,XETRA Stock Exchange
GPL,Great Panther Silver Ltd,United States of America,
GPL.V,Great Panther Silver Ltd,Canada,TSX Venture Exchange
GPR.TO,Great Panther Silver Ltd,Canada,Toronto Stock Exchange
GWST,"Great West Resources, Inc.",United States of America,
HCL.DE,Hecla Mining Co,Germany,XETRA Stock Exchange
HL,Hecla Mining Co.,United States of America,
HDA.V,Huldra Silver Inc,Canada,TSX Venture Exchange
IKL.DE,IMPACT Silver Corp,Germany,XETRA Stock Exchange
IPT.V,IMPACT Silver Corp,Canada,TSX Venture Exchange
KS.V,Klondike Silver Corp,Canada,TSX Venture Exchange
MAG.TO,MAG Silver Corp,Canada,Toronto Stock Exchange
MQ8.DE,MAG Silver Corp,Germany,XETRA Stock Exchange
MVG,MAG Silver Corp.,United States of America,
MYA.V,Maya Gold & Silver Inc,Canada,TSX Venture Exchange
MSV.TO,Minco Silver Corp,Canada,Toronto Stock Exchange
XYD.DE,Minco Silver Corp,Germany,XETRA Stock Exchange
MGT.TO,Mines Management Inc,Canada,Toronto Stock Exchange
MM2.DE,Mines Management Inc,Germany,XETRA Stock Exchange
MGN,"Mines Management, Inc.",United States of America,
NSY.V,NSX Silver Inc,Canada,TSX Venture Exchange
SKZ.V,Pacific Potash Corp,Canada,TSX Venture Exchange
PA2.DE,Pan American Silver Corp,Germany,XETRA Stock Exchange
PAA.TO,Pan American Silver Corp,Canada,Toronto Stock Exchange
SCZ.V,Santacruz Silver Mining Ltd,Canada,TSX Venture Exchange
SHSH,Shoshone Silver Mining Company,United States of America,
SDRG,Silver Dragon Resources Inc.,United States of America,
SPD.V,Silver Predator Corp,Canada,TSX Venture Exchange
SSO.TO,Silver Standard Resources Inc,Canada,Toronto Stock Exchange
ZSV.DE,Silver Standard Resources Inc,Germany,XETRA Stock Exchange
SSRI,Silver Standard Resources Inc.,United States of America,
SII.DE,Silver Wheaton Corp,Germany,XETRA Stock Exchange
SLW.TO,Silver Wheaton Corp,Canada,Toronto Stock Exchange
SLW,Silver Wheaton Corp.,United States of America,
S9Y.DE,Silvercorp Metals Inc,Germany,XETRA Stock Exchange
SVM.TO,Silvercorp Metals Inc,Canada,Toronto Stock Exchange
SVM,Silvercorp Metals Inc.,United States of America,
4QW.DE,Source Exploration Corp,Germany,XETRA Stock Exchange
SOP.V,Source Exploration Corp,Canada,TSX Venture Exchange
TWR.V,Tower Resources Ltd,Canada,TSX Venture Exchange
TUY.DE,Tumi Resources Ltd,Germany,XETRA Stock Exchange
WS.TO,Wildcat Silver Corporation,Canada,Toronto Stock Exchange
HKFINCHQ.BO,Adi Finechem Ltd,India,Bombay Stock Exchange
ADMT,ADM Tronics Unlimited Inc.,United States of America,
DW5.DE,"AE Biofuels, Inc.",Germany,XETRA Stock Exchange
AMTX,"Aemetis, Inc.",United States of America,
AGARIND.BO,Agarwal Industrial Corp Ltd,India,Bombay Stock Exchange
0AW.DE,Air Water Inc.,Germany,XETRA Stock Exchange
AKZOINDIA.NS,Akzo Nobel India Ltd,India,National Stock Exchange of India
ICI.BO,Akzo Nobel India Ltd,India,Bombay Stock Exchange
AKU.DE,Akzo Nobel NV,Germany,XETRA Stock Exchange
AMC.DE,Albemarle Corp,Germany,XETRA Stock Exchange
ALB,Albemarle Corporation,United States of America,
AJX.AX,Alexium International Gro,Australia,Australian Stock Exchange
E7T.DE,Alexium International Gro,Germany,XETRA Stock Exchange
ALFAA.MX,"Alfa, S.A.B. de C.V.",Mexico,Mexico Stock Exchange
G4L.DE,"Alfa, S.A.B. de C.V.",Germany,XETRA Stock Exchange
ALKALI.BO,Alkali Metals Ltd,India,Bombay Stock Exchange
ALKALI.NS,Alkali Metals Ltd,India,National Stock Exchange of India
ALKYLAM.BO,Alkyl Amines Chemicals Ltd,India,Bombay Stock Exchange
ALKYLAMIN.NS,Alkyl Amines Chemicals Ltd,India,National Stock Exchange of India
AFSE,All Energy Corp.,United States of America,
ALTI,"Altair Nanotechnologies, Inc.",United States of America,
AMAL.BO,Amal Ltd,India,Bombay Stock Exchange
AMRS,"Amyris, Inc.",United States of America,
AGM.L,Applied Graphene Materials PLC,United Kingdom,London Stock Exchange
ACRB,"Asia Carbon Industries, Inc.",United States of America,
ASIANPAIN.NS,Asian Paints Ltd.,India,National Stock Exchange of India
ASIANPAINT.BO,Asian Paints Ltd.,India,Bombay Stock Exchange
AAT.V,ATI Airtest Technologies Inc.,Canada,TSX Venture Exchange
AVRW,Aventine Renewable Energy Hold,United States of America,
AXTA,Axalta Coating Systems Ltd.,United States of America,
AXELPOLY.BO,Axel Polymers Ltd,India,Bombay Stock Exchange
BAGADIA.BO,Bagadia Colourchem Ltd,India,Bombay Stock Exchange
BALAMINES.NS,Balaji Amines Limited,India,National Stock Exchange of India
BALAJIAM.BO,Balaji Amines Ltd,India,Bombay Stock Exchange
BERGEPAIN.NS,Berger Paints India Ltd,India,National Stock Exchange of India
BERGEPAINT.BO,Berger Paints India Ltd,India,Bombay Stock Exchange
BHAGERIA.BO,Bhageria Dye Chem Ltd,India,Bombay Stock Exchange
ON.MI,Bio-on SpA,Italy,Milan Stock Exchange
BFLS,Biofuels Power Corporation,United States of America,
BONU,"BioNeutral Group, Inc.",United States of America,
BLACKROSE.BO,Black Rose Industries Ltd,India,Bombay Stock Exchange
BLGA,BlastGard International Inc.,United States of America,
0963.HK,Bloomage BioTechnology,Hong Kong,Hong Kong Stock Exchange
BFRE,"BlueFire Renewables, Inc.",United States of America,
BODALCHEM.BO,Bodal Chemicals Ltd,India,Bombay Stock Exchange
BORAX.BO,Borax Morarji Ltd,India,Bombay Stock Exchange
BNR.DE,Brenntag AG,Germany,XETRA Stock Exchange
CJGEL.BO,C J Gelatine Products Ltd,India,Bombay Stock Exchange
CBT.DE,Cabot Corp,Germany,XETRA Stock Exchange
CBT,Cabot Corporation,United States of America,
CLKTF,CalciTech Ltd.,United States of America,
CLKTF,CalciTech Ltd.,United States of America,
CNO.V,California Nanotech,Canada,TSX Venture Exchange
CAMEXLTD.BO,Camex Ltd,India,Bombay Stock Exchange
CAMLNFINE.BO,Camlin Fine Sciences Ltd,India,Bombay Stock Exchange
CUS.TO,Canexus Corp,Canada,Toronto Stock Exchange
CASTROL.BO,Castrol India Ltd.,India,Bombay Stock Exchange
CASTROL.NS,Castrol India Ltd.,India,National Stock Exchange of India
D2V.SI,Changtian Plastic & Chemi,Singapore,Singapore Stock Exchange
0951.HK,Chaowei Power Holdings Ltd.,Hong Kong,Hong Kong Stock Exchange
CHEMBOND.BO,Chembond Chemicals Ltd,India,Bombay Stock Exchange
CHEMALK.BO,Chemfab Alkalies Ltd,India,Bombay Stock Exchange
CHEMFALKA.NS,Chemfab Alkalies Ltd,India,National Stock Exchange of India
CHE-UN.TO,Chemtrade Logistics,Canada,Toronto Stock Exchange
CHMT,Chemtura Corporation,United States of America,
2198.HK,China Sanjiang Fine,Hong Kong,Hong Kong Stock Exchange
51C.DE,Chr Hansen Holding AS,Germany,XETRA Stock Exchange
CHROMATI.BO,Chromatic India Ltd,India,Bombay Stock Exchange
CHROMATIC.NS,Chromatic India Ltd,India,National Stock Exchange of India
CLRN.DE,Clariant AG,Germany,XETRA Stock Exchange
CLARICHEM.BO,Clariant Chemicals India Ltd,India,Bombay Stock Exchange
CLNINDIA.NS,Clariant Chemicals India Ltd,India,National Stock Exchange of India
CLTH,"Cleantech Biofuels, Inc.",United States of America,
COLO.BA,Colorin SA,Argentina,Buenos Aires Stock Exchange
6CM.DE,Croda International PLC,Germany,XETRA Stock Exchange
CRDA.L,Croda International PLC,United Kingdom,London Stock Exchange
CZM.DE,Cytec Industries Inc,Germany,XETRA Stock Exchange
CYT,Cytec Industries Inc.,United States of America,
DAICHI.BO,Dai-Ichi Karkaria Ltd,India,Bombay Stock Exchange
DAIKAFFI.BO,Daikaffil Chemicals India Ltd,India,Bombay Stock Exchange
5D8.DE,Deinove,Germany,XETRA Stock Exchange
ALDEI.PA,Deinove,France,Paris Stock Exchange
DPN.DE,DIC Corporation,Germany,XETRA Stock Exchange
DUJODPPR.BO,Dujodwala Paper Chemicals Ltd,India,Bombay Stock Exchange
DYNAMIND.BO,Dynamic Industries Ltd,India,Bombay Stock Exchange
DYNPRO.BO,Dynemic Products Ltd,India,Bombay Stock Exchange
ECJ.DE,Ecolab Inc,Germany,XETRA Stock Exchange
ECOCQ,"Ecology Coatings, Inc.",United States of America,
ECO.TO,EcoSynthetix Inc,Canada,Toronto Stock Exchange
ELANTAS.BO,Elantas Beck India Ltd.,India,Bombay Stock Exchange
E3E.DE,Elementis PLC,Germany,XETRA Stock Exchange
ELM.L,Elementis PLC,United Kingdom,London Stock Exchange
EMMESSA.BO,Emmessar Biotech,India,Bombay Stock Exchange
DBT.PA,Encres Dubuit,France,Paris Stock Exchange
ETCK,EnerTeck Corp.,United States of America,
EIHC,Environmental Infrastructure H,United States of America,
ESPI,"ESP Resources, Inc.",United States of America,
ESPI,"ESP Resources, Inc.",United States of America,
EVK.DE,Evonik Industries AG,Germany,XETRA Stock Exchange
ARSICOS.BO,Exotic Coal Ltd,India,Bombay Stock Exchange
I54.SI,Fabchem China Ltd,Singapore,Singapore Stock Exchange
FR9.DE,Ferro Corp,Germany,XETRA Stock Exchange
FOE,Ferro Corporation,United States of America,
FXT.DE,Flexible Solutions,Germany,XETRA Stock Exchange
FSI,Flexible Solutions Internation,United States of America,
FSI.V,Flexible Solutions Internation,Canada,TSX Venture Exchange
FRUT.L,Frutarom Industries Ltd,United Kingdom,London Stock Exchange
GANESHBE.BO,Ganesh Benzoplast Ltd,India,Bombay Stock Exchange
GIN.DE,Givaudan SA,Germany,XETRA Stock Exchange
GOACARB.BO,Goa Carbon Ltd,India,Bombay Stock Exchange
GOACARBON.NS,Goa Carbon Ltd,India,National Stock Exchange of India
GRPH.L,Graphene NanoChem PLC,United Kingdom,London Stock Exchange
G3V.DE,Green Plains Inc,Germany,XETRA Stock Exchange
GPRE,Green Plains Inc.,United States of America,
SIKOZY.BO,Griffin Chemicals Limited,India,Bombay Stock Exchange
GTS.L,GTS Chemical Holdings PLC,United Kingdom,London Stock Exchange
GUJCARB.BO,Gujarat Carbon And Indus,India,Bombay Stock Exchange
GULFOIL.BO,Gulf Oil Corp Ltd,India,Bombay Stock Exchange
R29A.DE,Gulf Resources Inc,Germany,XETRA Stock Exchange
GURE,"Gulf Resources, Inc.",United States of America,
GVM.DE,Gurit Holding AG,Germany,XETRA Stock Exchange
H4G.DE,Hansa Group AG,Germany,XETRA Stock Exchange
HARDCAS.BO,Hardcastle & Waud,India,Bombay Stock Exchange
HARLETH.BO,Haryana Leather Chemicals Ltd,India,Bombay Stock Exchange
HWKN,Hawkins Inc.,United States of America,
HAYD.L,Haydale Graphene,United Kingdom,London Stock Exchange
FUL,HB Fuller Co.,United States of America,
HXBM,Helix Biomedix Inc.,United States of America,
4QT.DE,Hexpol AB,Germany,XETRA Stock Exchange
HINDADH.BO,Hindustan Adhesives Ltd,India,Bombay Stock Exchange
IGPETRO.BO,Ig Petrochemicals Ltd,India,Bombay Stock Exchange
IGPL.NS,Ig Petrochemicals Ltd,India,National Stock Exchange of India
IKNX,Ikonics Corp.,United States of America,
INDGELA.BO,India Gelatine & Chemicals Ltd,India,Bombay Stock Exchange
INDTONER.BO,Indian Toners & Developers Ltd,India,Bombay Stock Exchange
INDOKEM.BO,Indokem Ltd,India,Bombay Stock Exchange
IPHS,Innophos Holdings Inc,United States of America,
OCT.DE,Innospec Inc,Germany,XETRA Stock Exchange
IOSP,Innospec Inc.,United States of America,
IFF.DE,International Flavors,Germany,XETRA Stock Exchange
IFF,International Flavors & Fragra,United States of America,
IOF.L,Iofina PLC,United Kingdom,London Stock Exchange
IOLCHEMPH.BO,IOL Chemicals,India,Bombay Stock Exchange
IOLCP.NS,IOL Chemicals,India,National Stock Exchange of India
IVP.BO,IVP Ltd,India,Bombay Stock Exchange
IVP.NS,IVP Ltd,India,National Stock Exchange of India
JAYAGROGN.NS,Jayant Agro-Organics Ltd,India,National Stock Exchange of India
JAYANTAG.BO,Jayant Agro-Organics Ltd,India,Bombay Stock Exchange
JAYSYN.BO,Jaysynth Dyestuff (India) Ltd,India,Bombay Stock Exchange
JINDALPOL.NS,Jindal Poly Films Ltd,India,National Stock Exchange of India
JINDPOLYFM.BO,Jindal Poly Films Ltd,India,Bombay Stock Exchange
JMAT.L,Johnson Matthey PLC,United Kingdom,London Stock Exchange
JMT.DE,Johnson Matthey PLC,Germany,XETRA Stock Exchange
JYOTIRES.BO,Jyoti Resins & Adhesives Ltd,India,Bombay Stock Exchange
KKA.DE,Kaneka Corp,Germany,XETRA Stock Exchange
KAP.DE,"Kansai Paint Co., Ltd.",Germany,XETRA Stock Exchange
KELENRG.BO,Keltech Energies Ltd,India,Bombay Stock Exchange
